Postcode_District,Year,Measure,Value
SE18,1997,Median,52248
SE19,1997,Median,57355
SE2,1997,Median,55340
SE20,1997,Median,52771
SE21,1997,Median,106530
SE22,1997,Median,75624
SE23,1997,Median,66330
SE24,1997,Median,89583
SE25,1997,Median,53843
SE26,1997,Median,67457
SE27,1997,Median,69712
SE28,1997,Median,48355
SE3,1997,Median,103635
SE4,1997,Median,61464
SE5,1997,Median,76616
SE6,1997,Median,60723
SE7,1997,Median,65276
SE8,1997,Median,51657
SE9,1997,Median,74539
SM1,1997,Median,69245
SM2,1997,Median,82080
SM3,1997,Median,87271
SM4,1997,Median,76642
SM5,1997,Median,75759
SM6,1997,Median,76624
SM7,1997,Median,128974
SW10,1997,Median,230058
SW11,1997,Median,129928
SW12,1997,Median,116737
SW13,1997,Median,226989
SW14,1997,Median,154531
SW15,1997,Median,120991
SW16,1997,Median,71643
SW17,1997,Median,85622
SW18,1997,Median,115491
SW19,1997,Median,108460
SW1A,1997,Median,273407
SW1E,1997,Median,149505
SW1H,1997,Median,169159
SW1P,1997,Median,164190
SW1V,1997,Median,157875
SW1W,1997,Median,277524
SW1X,1997,Median,374735
SW1Y,1997,Median,199275
SW2,1997,Median,71200
SW20,1997,Median,107747
SW3,1997,Median,271967
SW4,1997,Median,119725
SW5,1997,Median,193073
SW6,1997,Median,169199
SW7,1997,Median,312053
SW8,1997,Median,96196
SW9,1997,Median,83417
TN14,1997,Median,129491
TN16,1997,Median,100915
TW1,1997,Median,131293
TW10,1997,Median,160110
TW11,1997,Median,135412
TW12,1997,Median,110840
TW13,1997,Median,64765
TW14,1997,Median,66165
TW2,1997,Median,110411
TW3,1997,Median,74774
TW4,1997,Median,73306
TW5,1997,Median,79956
TW7,1997,Median,87902
TW8,1997,Median,85728
TW9,1997,Median,149492
UB1,1997,Median,63022
UB10,1997,Median,95339
UB2,1997,Median,68633
UB3,1997,Median,62800
UB4,1997,Median,66814
UB5,1997,Median,64686
UB6,1997,Median,81146
UB7,1997,Median,63191
UB8,1997,Median,73243
UB9,1997,Median,107651
W10,1997,Median,115784
W11,1997,Median,205479
W12,1997,Median,107001
W13,1997,Median,114374
W14,1997,Median,141514
W1B,1997,Median,261892
W1D,1997,Median,180714
W1F,1997,Median,120708
W1G,1997,Median,179722
W1H,1997,Median,183011
W1J,1997,Median,322514
W1K,1997,Median,349611
W1S,1997,Median,357533
W1T,1997,Median,163007
W1U,1997,Median,195457
W1W,1997,Median,127254
W2,1997,Median,158186
W3,1997,Median,97397
W4,1997,Median,151656
W5,1997,Median,127115
W6,1997,Median,136419
W7,1997,Median,87910
W8,1997,Median,310532
W9,1997,Median,135572
WC1A,1997,Median,224552
WC1B,1997,Median,165375
